Section,Element,Content
CountryStats,"New Zealand label","South Africans already living there"
CountryStats,"New Zealand detail","Green List: nurses & engineers may qualify for faster residence — if requirements are met"
CountryStats,"New Zealand roles","Nursing, Engineering, Farming, IT"
CountryStats,"New Zealand source","UN DESA / Immigration NZ"
CountryStats,"United States stat","J1 Visa"
CountryStats,"United States label","seasonal & exchange work every year"
CountryStats,"United States detail","Farm work, carnival, summer camps — legal route for eligible young South Africans"
CountryStats,"United States roles","Farm work, Carnival, Hospitality, Camps"
CountryStats,"United States source","US State Department"
Categories,"Healthcare label","Healthcare"
Categories,"Healthcare description","Nurses, caregivers, medical staff"
Categories,"Healthcare destinations","UK, AUS, IRE, UAE"
Categories,"IT Tech label","IT / Tech"
Categories,"IT Tech description","Developers, engineers, IT support"
Categories,"IT Tech destinations","IRE, UK, USA, AUS"
Categories,"Engineering label","Engineering"
Categories,"Engineering description","Civil, mechanical, electrical"
Categories,"Engineering destinations","AUS, UK, IRE, CA"
Categories,"Teaching label","Teaching"
Categories,"Teaching description","Teachers, tutors, education staff"
Categories,"Teaching destinations","UK, AUS, UAE"
Categories,"Remote Work label","Remote Work"
Categories,"Remote Work description","Teaching abroad, online roles, e.g. China"
Categories,"Remote Work destinations","Worldwide"
Categories,"Farming label","Farming"
Categories,"Farming description","Seasonal farm work"
Categories,"Farming destinations","UK, USA, AUS, NZ"
Categories,"Carnival Seasonal label","Carnival / Seasonal"
Categories,"Carnival Seasonal description","J1 visa, amusement, events"
Categories,"Carnival Seasonal destinations","USA"
Categories,"Hospitality label","Hospitality"
Categories,"Hospitality description","Hotels, restaurants, tourism"
Categories,"Hospitality destinations","UK, UAE, AUS, EU"
Categories,"Trades label","Trades"
Categories,"Trades description","Plumbers, electricians, builders"
Categories,"Trades destinations","UK, AUS, CA, UAE"
Categories,"Other label","Other"
Categories,"Other description","Something else? Tell us"
Categories,"Other destinations","Worldwide"
WhatsApp pre-fills,"Category template","Hi, I'm interested in [Category Label] work abroad. Can you help me?"
WhatsApp pre-fills,"Nav / Footer button","Hi, I'm interested in working abroad. Can you help me?"
WhatsApp pre-fills,"FAQ CTA","Hi, I have a question about Jobabroad."
WhatsApp pre-fills,"Lost link recovery","I lost my link. My number is [your number]."
